1405575,20-cu ft 4-Door Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel Look)
651482,Cold 48-cu ft 2-Door Merchandiser Commercial Refrigerator (White and Glass)
612452,Cold 49-cu ft 2-Door Reach-In Commercial Refrigerator (Stainless Steel)
1228890,Gallery 21.8-cu ft 4-Door Counter-depth French Door Refrigerator with Ice Maker (Smudge-Proof Stainless Steel) ENERGY STAR
852874,26.8-cu ft French Door Refrigerator with Ice Maker (EasyCare Stainless Steel) ENERGY STAR
753010,25.2-cu ft French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR
186006,25.5-cu ft French Door Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR
852875,26.8-cu ft French Door Refrigerator with Ice Maker (Black Stainless Steel) ENERGY STAR
1341469,InstaView 27-cu ft French Door Refrigerator with Ice Maker and Door within Door (Fingerprint-Resistant Printproof Stainless Steel) ENERGY STAR
712177,24.52-cu ft Side-by-Side Refrigerator with Ice Maker (Stainless Steel)
1030901,24.6-cu ft Side-by-Side Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel)
852869,25.5-cu ft Side-by-Side Refrigerator with Ice Maker (EasyCare Stainless Steel)
712177,24.52-cu ft Side-by-Side Refrigerator with Ice Maker (Stainless Steel)
912753,21.4-cu ft Side-by-Side Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel)
1262485,21.9-cu ft Counter-depth Side-by-Side Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel)
852868,25.5-cu ft Side-by-Side Refrigerator with Ice Maker (Black)
1297456,22-cu ft Counter-depth Side-by-Side Refrigerator with Ice Maker (EasyCare Stainless Steel)
852884,18-cu ft Top-Freezer Refrigerator (White)
623777,14.3-cu ft Top-Freezer Refrigerator (White)
970842,9.8-cu ft Top-Freezer Refrigerator (White)
623784,20.5-cu ft Top-Freezer Refrigerator (White)
623786,20.5-cu ft Top-Freezer Refrigerator (Monochromatic Stainless Steel)
847229,21.1-cu ft Top-Freezer Refrigerator (Stainless Steel) ENERGY STAR
1418795,16.6-cu ft Top-Freezer Refrigerator (White) ENERGY STAR
848354,1.6-cu ft Over-the-Range Microwave (EasyCare Stainless Steel)
589363,1.6-cu ft Over-the-Range Microwave (Fingerprint-Resistant Stainless Steel)
1362371,1.7-cu ft Over-the-Range Microwave with Sensor Cooking (Fingerprint-Resistant Stainless Steel)
1441317,1.9-cu ft Over-the-Range Microwave (Fingerprint-Resistant Stainless Steel)
803967,Smooth Surface-Element 4.2-cu ft / 2.5-cu ft Double Oven Convection Electric Range (Stainless Steel) (Common: 30-in; Actual: 29.938-in)
752131,Smooth Surface-Element 4.4-cu ft / 2.2-cu ft Self-Cleaning Double Oven Convection Electric Range (Stainless Steel) (Common: 30-in; Actual: 29.875-in)
749968,ProBake Smooth Surface-Element 4.3-cu ft / 3-cu ft Self-Cleaning Double Oven True Convection Electric Range (Stainless Steel) (Common: 30-in; Actual: 29.94-in)
845533,Flex Duo Smooth Surface-Element 2.7-cu ft / 3-cu ft Self-Cleaning and Double Oven True Convection True Convection Electric Range (Stainless Steel) (Common: 30-in; Actual: 29.875-in)
833876,Smooth Surface-Element 4.2-cu ft / 2.5-cu ft Self-Cleaning Double Oven Convection Electric Range (Black Stainless with Printshield) (Common: 30-in; Actual: 29.94-in)
1857691,Gallery 5 Burners 5.4-cu ft Self-Cleaning Air Fry True Convection Freestanding Gas Range (Smudge-Proof Stainless Steel) (Common: 30-in; Actual: 29.875-in)
617237,5 Burners 5.8-cu ft Self-Cleaning Convection Freestanding Gas Range (Stainless Steel) (Common: 30-in; Actual: 29.75-in)
634744,4 Burners 5.1-cu ft Freestanding Gas Range (Stainless Steel) (Common: 30-in; Actual: 29.875-in)
911310,5 Burners 5.3-cu ft Self-Cleaning Slide-in Gas Range (Stainless Steel) (Common: 30-in; Actual: 30-in)
638523,5 Burners 5.8-cu ft Self-Cleaning Convection Slide-in Gas Range (Stainless Steel) (Common: 30-in; Actual: 29.875-in)
1857692,Gallery Smooth Surface 5 Elements 5.4-cu ft Self-Cleaning Air Fry True Convection Freestanding Electric Range (Smudge-Proof Stainless Steel) (Common: 30-in; Actual: 29.875-in)
673897,Smooth Surface 4 Elements 4.8-cu ft Freestanding Electric Range (Black-on-stainless) (Common: 30-in; Actual: 29.875-in)
838770,Smooth Surface 5 Elements 5.9-cu ft Self-Cleaning Freestanding Electric Range (Stainless Steel) (Common: 30-in; Actual: 29.875-in)
911308,Smooth Surface 4 Elements 5.3-cu ft Self-Cleaning Slide-in Electric Range (Stainless Steel) (Common: 30-in; Actual: 29.875-in)
64057,4 Elements 2.4-cu ft Freestanding Electric Range (White) (Common: 20-in; Actual: 20.125-in)
1216180,Load & Go 4.5-cu ft High Efficiency Stackable Front-Load Washer (White) ENERGY STAR
1072528,TWINWash Smart Wi-Fi Enabled 4.5-cu ft High Efficiency Stackable Front-Load Washer (White) ENERGY STAR
826581,4.5-cu ft Stackable Front-Load Washer (White) ENERGY STAR
1258842,4.5-cu ft High Efficiency Stackable Front-Load Washer (White) ENERGY STAR
566001,4.2-cu ft High Efficiency Stackable Front-Load Washer (White) ENERGY STAR
1072522,TWINWash Smart Wi-Fi Enabled 4.5-cu ft High Efficiency Stackable Front-Load Washer (White) ENERGY STAR
670298,5.3-cu ft High Efficiency Top-Load Washer (White) ENERGY STAR
629986,4.3-cu ft High Efficiency Top-Load Washer (White)
1258836,4.2-cu ft Top-Load Washer (White)
916485,5.2-cu ft High Efficiency Top-Load Washer (White)
794808,3.5-cu ft High Efficiency Top-Load Washer (White)
1258837,4.5-cu ft High Efficiency Top-Load Washer (White)
1174499,TurboWash 3D Smart Wi-Fi Enabled 5-cu ft High Efficiency Top-Load Washer (White) ENERGY STAR
1339555,Gallery 2.2-cu ft Microwave with Sensor Cooking Controls (Smudge-proof Stainless Steel)
425961,Profile Advantium 1.7-cu ft Built-In Convection Microwave with Sensor Cooking Controls and Speed Cook (Stainless Steel)
732962,1.4-cu ft Built-In Convection Microwave with Sensor Cooking Controls (Stainless Steel)
827063,500 Series 1.6-cu ft Built-in Speed Cook Convection Microwave with Sensor Cooking Controls (Stainless Steel)
1328845,1.7-cu ft Microwave with Sensor Cooking Controls and Speed Cook (Stainless Steel)
221357,2-cu ft 1200 Countertop Microwave (Stainless Steel)
887366,1.6-cu ft 1200 Countertop Microwave (Fingerprint Resistant Stainless Steel)
804935,0.7-cu ft 700 Countertop Microwave (Black)
727747,EasyClean 0.9-cu ft 1000 Countertop Microwave (Stainless Steel)
700406,PowerGrill Duo 1.2-cu ft 1600 Countertop Convection Microwave (Fingerprint-resistant Black Stainless Steel)
820880,Home Colorstone Beige and Tan Indoor Area Rug (Common: 5 x 7; Actual: 5-ft W x 7-ft L x 0.5-ft dia)
1212670,Living Eastway Dove Indoor Area Rug (Common: 8 x 10; Actual: 8-ft W x 10-ft L)
267096,Tinsley Red Indoor Area Rug (Common: 8 x 10; Actual: 7.67-ft W x 10.83-ft L)
735055, Multicolor Indoor Area Rug (Common: 8 x 10; Actual: 7.67-ft W x 10.83-ft L)
847001,Home Utility Bay Black Rectangular Door Mat (Common: 3-ft x 3-ft; Actual: 36-in x 36-in)
345720, Inc. Black Rectangular Utility Mat (Common: 4-ft x 8-ft; Actual: 48-in x 96-in)
295099,Anti-Fatigue Mat (Common: 4-ft x 4-ft; Actual: 49.21-in x 49.21-in)
837026,BRedINA Pembroke Deep Red - Multi Rectangular Indoor/Outdoor Handcrafted Bohemian/Eclectic Area Rug (Common: 8 x 10; Actual: 8-ft W x 10-ft L)
